name,position,team,opponent,salary,projection,ceiling,ownership,status,game,kickoff
CHI QB1,QB,CHI,CAR,6300,22.28,31.87,10.98,,CHI@CAR,1:00 PM ET
CHI RB1,RB,CHI,CAR,5300,18.32,30.67,3.71,,CHI@CAR,1:00 PM ET
CHI RB2,RB,CHI,CAR,7700,9.06,19.07,3.56,,CHI@CAR,1:00 PM ET
CHI WR1,WR,CHI,CAR,6100,16.32,23.94,13.08,,CHI@CAR,1:00 PM ET
CHI WR2,WR,CHI,CAR,3600,13.87,26.7,3.08,,CHI@CAR,1:00 PM ET
CHI WR3,WR,CHI,CAR,4800,11.17,23.88,9.61,,CHI@CAR,1:00 PM ET
CHI WR4,WR,CHI,CAR,5800,4.77,15.44,1.13,,CHI@CAR,1:00 PM ET
CHI TE1,TE,CHI,CAR,5300,8.35,16.07,3.24,,CHI@CAR,1:00 PM ET
CHI TE2,TE,CHI,CAR,3100,9.66,16.98,4.29,,CHI@CAR,1:00 PM ET
CHI DST1,DST,CHI,CAR,3500,9.08,16.48,5.39,,CHI@CAR,1:00 PM ET
CAR QB1,QB,CAR,CHI,6300,17.45,30.16,7.17,,CHI@CAR,1:00 PM ET
CAR RB1,RB,CAR,CHI,6900,19.4,30.65,5.65,,CHI@CAR,1:00 PM ET
CAR RB2,RB,CAR,CHI,5100,7.9,18.71,7.57,,CHI@CAR,1:00 PM ET
CAR WR1,WR,CAR,CHI,3700,7.61,15.36,11.54,,CHI@CAR,1:00 PM ET
CAR WR2,WR,CAR,CHI,4000,16.31,24.92,6.08,,CHI@CAR,1:00 PM ET
CAR WR3,WR,CAR,CHI,3700,15.65,27.3,6.28,,CHI@CAR,1:00 PM ET
CAR WR4,WR,CAR,CHI,3700,6.18,17.58,6.68,,CHI@CAR,1:00 PM ET
CAR TE1,TE,CAR,CHI,3400,11.43,17.81,10.8,,CHI@CAR,1:00 PM ET
CAR TE2,TE,CAR,CHI,5500,10.59,19.46,5.56,,CHI@CAR,1:00 PM ET
CAR DST1,DST,CAR,CHI,3800,6.74,12.62,5.12,,CHI@CAR,1:00 PM ET
BAL QB1,QB,BAL,IND,5800,24.73,32.64,5.09,,BAL@IND,1:00 PM ET
BAL RB1,RB,BAL,IND,5200,20.67,32.01,16.92,,BAL@IND,1:00 PM ET
BAL RB2,RB,BAL,IND,7500,7.4,15.68,6.69,,BAL@IND,1:00 PM ET
BAL WR1,WR,BAL,IND,7900,7.25,16.69,6.68,,BAL@IND,1:00 PM ET
BAL WR2,WR,BAL,IND,6200,7.33,15.66,11.7,,BAL@IND,1:00 PM ET
BAL WR3,WR,BAL,IND,3900,11.31,17.58,1.29,,BAL@IND,1:00 PM ET
BAL WR4,WR,BAL,IND,7800,13.54,23.91,6.77,,BAL@IND,1:00 PM ET
BAL TE1,TE,BAL,IND,3800,9.92,19.61,8.49,,BAL@IND,1:00 PM ET
BAL TE2,TE,BAL,IND,4700,10.26,15.41,1.55,,BAL@IND,1:00 PM ET
BAL DST1,DST,BAL,IND,3100,7.2,12.42,3.16,,BAL@IND,1:00 PM ET
IND QB1,QB,IND,BAL,7300,24.87,34.28,13.88,,BAL@IND,1:00 PM ET
IND RB1,RB,IND,BAL,5000,15.18,26.75,15.45,,BAL@IND,1:00 PM ET
IND RB2,RB,IND,BAL,4700,7.28,17.06,4.25,,BAL@IND,1:00 PM ET
IND WR1,WR,IND,BAL,4700,10.65,20.14,5.49,,BAL@IND,1:00 PM ET
IND WR2,WR,IND,BAL,6600,8.31,18.51,12.57,,BAL@IND,1:00 PM ET
IND WR3,WR,IND,BAL,4100,4.75,12.45,7.85,,BAL@IND,1:00 PM ET
IND WR4,WR,IND,BAL,4400,8.82,15.89,7.92,,BAL@IND,1:00 PM ET
IND TE1,TE,IND,BAL,5100,11.82,17.65,3.64,,BAL@IND,1:00 PM ET
IND TE2,TE,IND,BAL,4600,12.38,17.65,3.42,,BAL@IND,1:00 PM ET
IND DST1,DST,IND,BAL,2800,7.09,14.03,4.74,,BAL@IND,1:00 PM ET
ATL QB1,QB,ATL,PIT,6400,17.47,24.57,7.88,,ATL@PIT,1:00 PM ET
ATL RB1,RB,ATL,PIT,5700,17.09,27.15,12.93,,ATL@PIT,1:00 PM ET
ATL RB2,RB,ATL,PIT,7600,10.89,19.68,8.12,,ATL@PIT,1:00 PM ET
ATL WR1,WR,ATL,PIT,5200,18.74,27.07,15.1,,ATL@PIT,1:00 PM ET
ATL WR2,WR,ATL,PIT,6500,15.46,28.13,6.05,,ATL@PIT,1:00 PM ET
ATL WR3,WR,ATL,PIT,3800,13.55,27.53,8.2,,ATL@PIT,1:00 PM ET
ATL WR4,WR,ATL,PIT,4600,9.38,17.24,2.51,,ATL@PIT,1:00 PM ET
ATL TE1,TE,ATL,PIT,3800,10.03,17.13,8.06,,ATL@PIT,1:00 PM ET
ATL TE2,TE,ATL,PIT,4900,10.17,18.99,3.34,,ATL@PIT,1:00 PM ET
ATL DST1,DST,ATL,PIT,2800,9.16,16.2,6.12,,ATL@PIT,1:00 PM ET
PIT QB1,QB,PIT,ATL,5700,23.93,35.39,12.54,,ATL@PIT,1:00 PM ET
PIT RB1,RB,PIT,ATL,4900,10.62,22.4,19.22,,ATL@PIT,1:00 PM ET
PIT RB2,RB,PIT,ATL,5000,16.17,28.02,2.51,,ATL@PIT,1:00 PM ET
PIT WR1,WR,PIT,ATL,6000,13.44,25.53,15.89,,ATL@PIT,1:00 PM ET
PIT WR2,WR,PIT,ATL,6100,8.47,19.25,10.05,,ATL@PIT,1:00 PM ET
PIT WR3,WR,PIT,ATL,7500,13.95,25.15,4.39,,ATL@PIT,1:00 PM ET
